card_id,video,track_id,label,labeler,notes
T006_001,VID_20260224_162848_00_006,239,parked,claude-visual-review,vehicle on street beyond campus plaza
T006_002,VID_20260224_162848_00_006,701,parked,claude-visual-review,
T006_003,VID_20260224_162848_00_006,1022,cross_side,claude-visual-review,
T006_004,VID_20260224_162848_00_006,1206,parked,claude-visual-review,
T006_005,VID_20260224_162848_00_006,1393,oncoming,claude-visual-review,
T006_006,VID_20260224_162848_00_006,1558,parked,claude-visual-review,
T006_007,VID_20260224_162848_00_006,1863,unclear,claude-visual-review,"bench, not a vehicle"
T006_008,VID_20260224_162848_00_006,2475,parked,claude-visual-review,
T006_009,VID_20260224_162848_00_006,3435,cross_side,claude-visual-review,
T006_010,VID_20260224_162848_00_006,3558,cross_side,claude-visual-review,
T006_011,VID_20260224_162848_00_006,3658,cross_side,claude-visual-review,
T006_012,VID_20260224_162848_00_006,3958,cross_side,claude-visual-review,
T006_013,VID_20260224_162848_00_006,4125,parked,claude-visual-review,gas station lot
T006_014,VID_20260224_162848_00_006,4392,oncoming,claude-visual-review,
T006_015,VID_20260224_162848_00_006,4463,cross_side,claude-visual-review,
T006_016,VID_20260224_162848_00_006,4547,cross_side,claude-visual-review,
T006_017,VID_20260224_162848_00_006,4658,parked,claude-visual-review,
T006_018,VID_20260224_162848_00_006,4813,parked,claude-visual-review,
T006_019,VID_20260224_162848_00_006,4829,unclear,claude-visual-review,too small/occluded
T006_020,VID_20260224_162848_00_006,5000,oncoming,claude-visual-review,
T006_021,VID_20260224_162848_00_006,5036,ego_lane,claude-visual-review,
T006_022,VID_20260224_162848_00_006,5382,parked,claude-visual-review,
T006_023,VID_20260224_162848_00_006,5480,cross_side,claude-visual-review,
T006_024,VID_20260224_162848_00_006,5576,cross_side,claude-visual-review,
T006_025,VID_20260224_162848_00_006,5589,cross_side,claude-visual-review,
T006_026,VID_20260224_162848_00_006,5657,cross_side,claude-visual-review,
T006_027,VID_20260224_162848_00_006,5686,cross_side,claude-visual-review,
T006_028,VID_20260224_162848_00_006,5700,cross_side,claude-visual-review,
T006_029,VID_20260224_162848_00_006,5714,cross_side,claude-visual-review,
T006_030,VID_20260224_162848_00_006,6123,cross_side,claude-visual-review,
T006_031,VID_20260224_162848_00_006,6209,parked,claude-visual-review,
T006_032,VID_20260224_162848_00_006,6561,parked,claude-visual-review,
T006_033,VID_20260224_162848_00_006,6945,parked,claude-visual-review,
T006_034,VID_20260224_162848_00_006,7183,parked,claude-visual-review,
T006_035,VID_20260224_162848_00_006,7186,parked,claude-visual-review,
T006_036,VID_20260224_162848_00_006,7293,parked,claude-visual-review,
T006_037,VID_20260224_162848_00_006,8529,cross_side,claude-visual-review,
T006_038,VID_20260224_162848_00_006,8549,cross_side,claude-visual-review,
T006_039,VID_20260224_162848_00_006,8766,parked,claude-visual-review,parked in driveway
T006_040,VID_20260224_162848_00_006,8788,parked,claude-visual-review,
T006_041,VID_20260224_162848_00_006,8915,parked,claude-visual-review,
T006_042,VID_20260224_162848_00_006,8949,parked,claude-visual-review,
T006_043,VID_20260224_162848_00_006,8989,parked,claude-visual-review,
T006_044,VID_20260224_162848_00_006,9301,unclear,claude-visual-review,too small to judge
