track_id,relation,t_start,t_end,z_min_m,x_inner_absmin_m,event,clearance_m,side,speed_difference_mps,score
17,cross_side,4.6,49.05,6.4,0.0,crossing_traffic_near,,,,
20,cross_side,4.74,47.65,5.0,0.0,crossing_traffic_near,,,,
26,cross_side,5.61,49.45,6.0,0.0,crossing_traffic_near,,,,
32,cross_side,6.81,12.95,7.1,1.3,crossing_traffic_near,,,,
36,cross_side,7.61,12.55,8.4,4.83,crossing_traffic_near,,,,
57,cross_side,9.34,12.35,8.3,6.15,crossing_traffic_near,,,,
72,cross_side,13.48,44.24,5.9,6.43,crossing_traffic_near,,,,
74,cross_side,16.95,43.38,8.7,10.89,crossing_traffic_near,,,,
81,cross_side,24.76,31.97,7.1,0.0,crossing_traffic_near,,,,
91,cross_side,30.5,46.65,7.2,0.0,crossing_traffic_near,,,,
272,cross_side,60.46,65.0,7.5,9.31,crossing_traffic_near,,,,
317,ego_lane,67.33,97.83,2.0,0.0,vehicle_close_in_my_lane,,,,
658,cross_side,98.23,99.77,6.9,12.22,crossing_traffic_near,,,,
659,cross_side,98.23,99.7,7.8,13.52,crossing_traffic_near,,,,
762,parked,111.58,121.72,5.5,0.0,overtaken_by_vehicle,6.37,left,2.1,
770,parked,112.78,118.99,7.0,2.04,overtaken_by_vehicle,8.67,left,3.8,
792,parked,117.18,122.86,5.6,0.0,overtaken_by_vehicle,5.46,left,2.2,
912,ego_lane,132.13,132.4,1.7,1.75,vehicle_close_in_my_lane,,,,
969,parked,136.47,162.76,1.4,0.0,overtaken_by_vehicle,0.69,left,0.8,
969,parked,136.47,162.76,1.4,0.0,close_pass_under_1p5m,0.69,left,,
1033,oncoming,144.68,146.75,13.7,1.14,oncoming_close_pass,,,,
1063,adjacent_same,146.48,164.1,1.6,0.0,overtaken_by_vehicle,0.77,left,1.1,
1063,adjacent_same,146.48,164.1,1.6,0.0,close_pass_under_1p5m,0.77,left,,
1106,parked,148.62,148.95,6.7,6.94,overtaken_by_vehicle,7.11,right,0.6,
1176,parked,156.22,156.69,7.8,7.92,overtaken_by_vehicle,8.39,left,1.6,
1185,ego_lane,157.22,170.5,1.4,0.0,overtaken_by_vehicle,0.72,left,1.2,
1185,ego_lane,157.22,170.5,1.4,0.0,close_pass_under_1p5m,0.72,left,,
1185,ego_lane,157.22,170.5,1.4,0.0,vehicle_close_in_my_lane,,,,
1203,ego_lane,160.16,160.49,3.0,1.17,vehicle_close_in_my_lane,,,,
1217,ego_lane,161.23,161.43,4.3,0.81,vehicle_close_in_my_lane,,,,
1273,oncoming,165.16,168.64,1.8,0.0,oncoming_close_pass,,,,
1281,oncoming,165.9,169.77,1.4,0.0,oncoming_close_pass,,,,
1484,ego_lane,211.34,253.12,1.6,0.0,vehicle_close_in_my_lane,,,,
1515,cross_side,213.55,218.95,9.6,0.0,crossing_traffic_near,,,,
1539,cross_side,215.08,217.08,10.9,0.0,crossing_traffic_near,,,,
1731,parked,231.03,231.3,7.8,8.7,overtaken_by_vehicle,8.7,right,4.7,
1906,ego_lane,249.85,250.12,3.5,0.0,vehicle_close_in_my_lane,,,,
1935,ego_lane,253.65,259.86,1.2,0.0,vehicle_close_in_my_lane,,,,
1992,cross_side,260.39,264.93,5.8,3.55,crossing_traffic_near,,,,
1993,cross_side,260.46,265.47,8.5,3.57,crossing_traffic_near,,,,
1995,cross_side,260.79,266.33,10.9,2.71,crossing_traffic_near,,,,
2003,cross_side,261.26,263.0,11.6,12.08,crossing_traffic_near,,,,
2025,ego_lane,264.4,276.54,1.2,0.0,vehicle_close_in_my_lane,,,,
2053,cross_side,267.27,268.0,4.8,5.89,crossing_traffic_near,,,,
2060,cross_side,267.67,268.47,2.3,2.05,crossing_traffic_near,,,,
2143,ego_lane,274.21,274.21,4.0,0.42,vehicle_close_in_my_lane,,,,
2148,cross_side,274.34,281.08,4.8,2.89,crossing_traffic_near,,,,
2177,cross_side,275.61,278.14,10.9,9.66,crossing_traffic_near,,,,
2218,ego_lane,280.55,293.89,1.2,0.0,vehicle_close_in_my_lane,,,,
2266,ego_lane,284.15,285.29,1.5,1.3,vehicle_close_in_my_lane,,,,
2293,ego_lane,286.95,287.22,3.7,0.0,vehicle_close_in_my_lane,,,,
2310,cross_side,288.42,291.96,6.4,7.89,crossing_traffic_near,,,,
2351,ego_lane,292.29,293.09,1.2,0.59,vehicle_close_in_my_lane,,,,
2354,cross_side,292.49,315.92,3.6,0.0,crossing_traffic_near,,,,
2368,cross_side,294.03,317.38,7.3,0.0,crossing_traffic_near,,,,
2394,cross_side,297.1,304.44,3.9,0.0,crossing_traffic_near,,,,
2397,cross_side,297.43,301.77,5.9,0.0,crossing_traffic_near,,,,
2430,cross_side,302.7,312.91,10.9,0.0,crossing_traffic_near,,,,
2437,oncoming,306.91,308.31,15.0,0.74,oncoming_close_pass,,,,
