second,timestamp_local,ego_speed_mps,ego_moving,p_separated_path,p_bike_lane,p_shared_road,scene,n_ego_lane,n_adjacent_same,n_oncoming,n_parked,n_cross_side,min_z_ego_lane_m,min_lateral_adjacent_m,min_lateral_oncoming_m,door_zone_parked
0,2026-02-09T18:33:34,-0.005830114136664601,False,0.7372379899024963,0.05125792324542999,0.21150406698385874,separated_path,0.0,0.0,0.0,3.0,1.0,,,,0
1,2026-02-09T18:33:35,-0.010509128865883016,False,0.779770016670227,0.04105725325644016,0.1791727151721716,separated_path,0.0,0.0,0.0,5.0,1.0,,,,0
2,2026-02-09T18:33:36,-0.03373095794229859,False,0.7964075446128845,0.04132761359214783,0.16226482391357422,separated_path,0.0,0.0,0.0,7.0,1.0,,,,0
3,2026-02-09T18:33:37,-0.021537134058974505,False,0.8004029870033265,0.04055103063583374,0.1590459704399109,separated_path,0.0,1.0,0.0,7.0,1.0,,,,0
4,2026-02-09T18:33:38,-0.0009969242115933378,False,0.8168326258659363,0.04138671159744263,0.14178064465522766,separated_path,0.0,1.0,0.0,4.0,0.0,,,,0
5,2026-02-09T18:33:39,0.004136735510012985,False,0.814128828048706,0.036039698868989944,0.14983148574829103,separated_path,0.0,0.0,0.0,5.0,0.0,,,,0
6,2026-02-09T18:33:40,0.002070661265855393,False,0.7954704523086548,0.03821748979389668,0.16631207317113877,separated_path,0.0,0.0,0.0,2.0,0.0,,,,0
7,2026-02-09T18:33:41,-0.0008203453559509436,False,0.7844686627388,0.03546718508005142,0.1800641804933548,separated_path,0.0,0.0,0.0,1.0,0.0,,,,0
8,2026-02-09T18:33:42,-0.00968001416162995,False,0.8084241628646851,0.02749837525188923,0.16407747566699982,separated_path,0.0,0.0,0.0,0.0,1.0,,,,0
9,2026-02-09T18:33:43,-0.012050922280902128,False,0.8211485624313355,0.026021597161889076,0.15282984972000122,separated_path,0.0,0.0,0.0,0.0,1.0,,,,0
10,2026-02-09T18:33:44,-0.004911625075172221,False,0.854241693019867,0.021076786704361437,0.12468151673674584,separated_path,0.0,0.0,0.0,4.0,0.0,,,,0
11,2026-02-09T18:33:45,-0.04532885604083147,False,0.8753179669380188,0.01987931951880455,0.10480269119143486,separated_path,0.0,0.0,0.0,9.0,0.0,,,,2
12,2026-02-09T18:33:46,-0.03908375412404834,False,0.9073712468147278,0.014865654893219471,0.07776307165622712,separated_path,0.0,0.0,0.0,8.0,0.0,,,,2
13,2026-02-09T18:33:47,-0.020162330934049545,False,0.924764096736908,0.013112514000385999,0.06212337799370289,separated_path,0.0,1.0,0.0,5.0,0.0,,,,0
14,2026-02-09T18:33:48,0.03941995250087996,False,0.8348972260951996,0.015596953313797712,0.14950581081211567,separated_path,0.0,1.0,0.0,3.0,0.0,,,,0
15,2026-02-09T18:33:49,-0.08059648995500363,False,0.8270060956478119,0.0219267544336617,0.1510671403259039,separated_path,0.0,0.0,0.0,6.0,0.0,,,,1
16,2026-02-09T18:33:50,-0.003542206628141797,False,0.8333274066448212,0.02173560643568635,0.14493696875870227,separated_path,0.0,0.0,0.0,7.0,1.0,,,,0
17,2026-02-09T18:33:51,-0.17605368275675093,False,0.8342786610126496,0.022412443067878485,0.1433088816702366,separated_path,0.0,0.0,0.0,10.0,1.0,,,,1
18,2026-02-09T18:33:52,-0.11750722531809085,False,0.8362261354923248,0.02231364115141332,0.1414602080360055,separated_path,0.0,0.0,0.0,6.0,0.0,,,,1
19,2026-02-09T18:33:53,0.04475496876968524,False,0.9470621705055237,0.016333744442090393,0.03660405296832323,separated_path,0.0,0.0,0.0,6.0,0.0,,,,1
