video,scene,minutes,median_speed_mps,per_min_ego_lane,per_min_adjacent_same,per_min_oncoming,per_min_parked,per_min_cross_side,door_zone_share
VID_20260209_090112_00_001,separated_path,2.83,4.58,0.0,0.0,0.0,7.06,5.65,0.024
VID_20260209_090112_00_001,bike_lane,1.07,6.83,0.0,0.94,3.75,61.88,2.81,0.375
VID_20260209_090112_00_001,shared_road,10.53,5.14,1.42,1.23,1.99,72.06,4.94,0.453
VID_20260209_183334_00_002,separated_path,4.83,3.78,1.66,0.0,0.0,6.21,2.07,0.059
VID_20260209_183334_00_002,bike_lane,0.25,9.18,0.0,8.0,8.0,40.0,4.0,0.0
VID_20260209_183334_00_002,shared_road,15.37,4.07,1.82,3.84,2.15,36.7,13.15,0.325
VID_20260223_090217_00_003,separated_path,2.45,4.7,0.41,0.41,0.0,6.53,1.22,0.054
VID_20260223_090217_00_003,bike_lane,0.53,4.42,0.0,7.5,1.88,46.88,7.5,0.156
VID_20260223_090217_00_003,shared_road,13.68,4.56,0.51,2.12,1.46,52.47,11.62,0.34
VID_20260223_183551_00_004,separated_path,3.72,2.68,1.61,0.0,0.0,13.18,1.35,0.063
VID_20260223_183551_00_004,bike_lane,0.63,3.64,0.0,0.0,0.0,7.89,17.37,0.0
VID_20260223_183551_00_004,shared_road,17.98,3.18,1.89,1.72,3.84,31.25,12.07,0.335
VID_20260224_091119_00_005,separated_path,2.37,4.11,0.85,0.85,0.0,11.83,2.96,0.007
VID_20260224_091119_00_005,bike_lane,0.37,5.54,0.0,8.18,2.73,38.18,2.73,0.227
VID_20260224_091119_00_005,shared_road,14.68,4.29,1.36,2.72,1.98,54.28,13.42,0.36
VID_20260224_162848_00_006,separated_path,3.62,5.4,0.28,0.0,0.0,12.44,4.7,0.074
VID_20260224_162848_00_006,bike_lane,4.43,4.7,0.45,3.16,5.86,63.16,6.09,0.372
VID_20260224_162848_00_006,shared_road,12.85,3.87,0.93,2.02,2.02,67.32,18.21,0.437
