minute,mean_detected_vehicles,median_detected_vehicles,max_detected_vehicles,frames_with_vehicle,frames,percent_frames_with_vehicle
0,7.061145080600333,7.0,20,1799,1799,100.0
1,6.676863181312569,6.0,17,1798,1798,100.0
2,2.835372636262514,2.0,15,1728,1798,96.1067853170189
3,4.657397107897664,3.0,22,1595,1798,88.70967741935483
4,4.540600667408231,4.0,15,1670,1798,92.88097886540601
5,5.19177320733741,5.0,15,1792,1799,99.61089494163424
6,6.448275862068965,6.0,16,1748,1798,97.21913236929922
7,5.970522803114572,6.0,15,1797,1798,99.94438264738598
8,5.2235817575083425,5.0,20,1641,1798,91.26807563959956
9,7.778086763070078,8.0,17,1798,1798,100.0
10,5.53029460811562,6.0,14,1656,1799,92.05113952195664
11,8.055617352614016,8.0,19,1798,1798,100.0
12,7.913236929922136,8.0,19,1796,1798,99.88876529477197
13,9.53170189098999,9.0,22,1798,1798,100.0
14,10.206340378197998,10.0,23,1798,1798,100.0
15,12.501945525291829,12.0,21,1799,1799,100.0
16,10.238042269187986,8.0,27,1798,1798,100.0
17,11.867630700778642,12.0,23,1798,1798,100.0
18,11.117908787541714,11.0,24,1798,1798,100.0
19,16.224694104560623,16.0,28,1798,1798,100.0
20,8.88715953307393,8.0,26,1799,1799,100.0
21,7.775305895439377,8.0,16,1798,1798,100.0
22,8.674082313681868,8.0,18,1798,1798,100.0
23,9.14349276974416,9.0,17,1798,1798,100.0
24,5.4933259176863185,6.0,17,1769,1798,98.38709677419355
25,5.620344635908838,6.0,15,1794,1799,99.72206781545303
26,3.1301446051167963,3.0,9,1798,1798,100.0
27,1.2775305895439377,1.0,8,1395,1798,77.58620689655173
28,1.9121245828698554,2.0,8,1537,1798,85.48387096774194
29,3.8526140155728585,3.0,11,1676,1798,93.2146829810901
30,5.111111111111111,5.0,6,9,9,100.0
