clip,ride,ride_second,labelled_in_bike_lane,scene_clip_v2,bike_lane_score,paint_in_bike_lane
typology_006_bikelane_440s,VID_20260224_162848_00_006,440,0,shared_road,-0.2,0
typology_006_bikelane_440s,VID_20260224_162848_00_006,441,0,shared_road,-0.317,0
typology_006_bikelane_440s,VID_20260224_162848_00_006,442,0,shared_road,-0.317,0
typology_006_bikelane_440s,VID_20260224_162848_00_006,443,0,shared_road,-0.362,0
typology_006_bikelane_440s,VID_20260224_162848_00_006,444,0,shared_road,-0.362,0
typology_006_bikelane_440s,VID_20260224_162848_00_006,445,0,shared_road,-0.362,0
typology_006_bikelane_440s,VID_20260224_162848_00_006,446,0,shared_road,-0.583,0
typology_006_bikelane_440s,VID_20260224_162848_00_006,447,0,shared_road,-0.117,0
typology_006_bikelane_440s,VID_20260224_162848_00_006,448,0,shared_road,0.3,0
typology_006_bikelane_440s,VID_20260224_162848_00_006,449,0,shared_road,0.4,1
typology_006_bikelane_440s,VID_20260224_162848_00_006,450,,shared_road,0.7,1
typology_006_bikelane_440s,VID_20260224_162848_00_006,451,,bike_lane,0.73,1
typology_006_bikelane_440s,VID_20260224_162848_00_006,452,1,bike_lane,0.725,1
typology_006_bikelane_440s,VID_20260224_162848_00_006,453,1,bike_lane,0.721,1
typology_006_bikelane_440s,VID_20260224_162848_00_006,454,1,bike_lane,0.55,1
typology_006_bikelane_440s,VID_20260224_162848_00_006,455,1,bike_lane,0.525,1
typology_006_bikelane_440s,VID_20260224_162848_00_006,456,1,shared_road,0.558,1
typology_006_bikelane_440s,VID_20260224_162848_00_006,457,1,shared_road,0.325,0
typology_006_bikelane_440s,VID_20260224_162848_00_006,458,,shared_road,0.317,0
typology_006_bikelane_440s,VID_20260224_162848_00_006,459,,shared_road,0.317,0
typology_006_bikelane_440s,VID_20260224_162848_00_006,460,,shared_road,0.317,0
typology_006_bikelane_440s,VID_20260224_162848_00_006,461,1,bike_lane,0.517,1
typology_006_bikelane_440s,VID_20260224_162848_00_006,462,1,bike_lane,0.543,1
typology_006_bikelane_440s,VID_20260224_162848_00_006,463,1,bike_lane,0.514,1
typology_006_bikelane_440s,VID_20260224_162848_00_006,464,1,bike_lane,0.714,1
typology_006_bikelane_440s,VID_20260224_162848_00_006,465,1,bike_lane,0.643,1
typology_006_bikelane_440s,VID_20260224_162848_00_006,466,1,bike_lane,0.643,1
typology_006_bikelane_440s,VID_20260224_162848_00_006,467,1,bike_lane,0.643,1
typology_006_bikelane_440s,VID_20260224_162848_00_006,468,1,bike_lane,0.643,1
typology_006_bikelane_440s,VID_20260224_162848_00_006,469,1,bike_lane,0.643,1
typology_006_bikelane_440s,VID_20260224_162848_00_006,470,1,bike_lane,0.643,1
typology_006_bikelane_440s,VID_20260224_162848_00_006,471,1,bike_lane,0.614,1
typology_006_bikelane_440s,VID_20260224_162848_00_006,472,1,bike_lane,0.643,1
typology_006_bikelane_440s,VID_20260224_162848_00_006,473,1,shared_road,0.614,1
typology_006_bikelane_440s,VID_20260224_162848_00_006,474,1,shared_road,0.586,1
typology_006_bikelane_440s,VID_20260224_162848_00_006,475,1,shared_road,0.471,1
typology_006_bikelane_440s,VID_20260224_162848_00_006,476,1,shared_road,0.3,0
