video,track_id,label,labeler
typology_006_bikelane_440s,9,parked,"claude-visual-review (demo clips, start/middle/end frames)"
typology_006_bikelane_440s,34,parked,"claude-visual-review (demo clips, start/middle/end frames)"
typology_006_bikelane_440s,44,parked,"claude-visual-review (demo clips, start/middle/end frames)"
typology_006_bikelane_440s,87,unclear,"claude-visual-review (demo clips, start/middle/end frames)"
typology_006_bikelane_440s,93,adjacent_same,"claude-visual-review (demo clips, start/middle/end frames)"
typology_006_bikelane_440s,119,oncoming,"claude-visual-review (demo clips, start/middle/end frames)"
typology_006_bikelane_440s,133,oncoming,"claude-visual-review (demo clips, start/middle/end frames)"
typology_006_bikelane_440s,176,cross_side,"claude-visual-review (demo clips, start/middle/end frames)"
typology_006_bikelane_440s,187,adjacent_same,"claude-visual-review (demo clips, start/middle/end frames)"
typology_006_bikelane_440s,280,parked,"claude-visual-review (demo clips, start/middle/end frames)"
typology_006_bikelane_440s,284,parked,"claude-visual-review (demo clips, start/middle/end frames)"
typology_006_bikelane_440s,306,parked,"claude-visual-review (demo clips, start/middle/end frames)"
typology_006_bikelane_440s,320,parked,"claude-visual-review (demo clips, start/middle/end frames)"
typology_006_bikelane_440s,337,parked,"claude-visual-review (demo clips, start/middle/end frames)"
typology_006_bikelane_440s,381,parked,"claude-visual-review (demo clips, start/middle/end frames)"
typology_006_bikelane_440s,395,parked,"claude-visual-review (demo clips, start/middle/end frames)"
typology_006_bikelane_440s,428,unclear,"claude-visual-review (demo clips, start/middle/end frames)"
typology_006_bikelane_440s,479,parked,"claude-visual-review (demo clips, start/middle/end frames)"
typology_006_bikelane_440s,484,parked,"claude-visual-review (demo clips, start/middle/end frames)"
typology_006_bikelane_440s,489,parked,"claude-visual-review (demo clips, start/middle/end frames)"
typology_006_bikelane_440s,507,unclear,"claude-visual-review (demo clips, start/middle/end frames)"
typology_006_bikelane_440s,509,parked,"claude-visual-review (demo clips, start/middle/end frames)"
typology_006_bikelane_440s,592,unclear,"claude-visual-review (demo clips, start/middle/end frames)"
typology_006_bikelane_440s,609,parked,"claude-visual-review (demo clips, start/middle/end frames)"
typology_006_bikelane_440s,695,parked,"claude-visual-review (demo clips, start/middle/end frames)"
typology_006_bikelane_440s,744,parked,"claude-visual-review (demo clips, start/middle/end frames)"
typology_006_bikelane_440s,752,oncoming,"claude-visual-review (demo clips, start/middle/end frames)"
typology_006_bikelane_440s,815,unclear,"claude-visual-review (demo clips, start/middle/end frames)"
typology_006_bikelane_440s,831,parked,"claude-visual-review (demo clips, start/middle/end frames)"
typology_006_bikelane_440s,836,unclear,"claude-visual-review (demo clips, start/middle/end frames)"
typology_006_bikelane_440s,91,adjacent_same,"claude-visual-review (demo clips, start/middle/end frames)"
typology_006_bikelane_440s,175,adjacent_same,"claude-visual-review (demo clips, start/middle/end frames)"
typology_006_bikelane_440s,200,adjacent_same,"claude-visual-review (demo clips, start/middle/end frames)"
typology_006_bikelane_440s,442,adjacent_same,"claude-visual-review (demo clips, start/middle/end frames)"
typology_006_bikelane_440s,496,adjacent_same,"claude-visual-review (demo clips, start/middle/end frames)"
typology_006_bikelane_440s,604,unclear,"claude-visual-review (demo clips, start/middle/end frames)"
typology_006_bikelane_440s,692,adjacent_same,"claude-visual-review (demo clips, start/middle/end frames)"
typology_005_following_280s,34,parked,"claude-visual-review (demo clips, start/middle/end frames)"
typology_005_following_280s,87,parked,"claude-visual-review (demo clips, start/middle/end frames)"
typology_005_following_280s,91,parked,"claude-visual-review (demo clips, start/middle/end frames)"
typology_005_following_280s,112,parked,"claude-visual-review (demo clips, start/middle/end frames)"
typology_005_following_280s,120,parked,"claude-visual-review (demo clips, start/middle/end frames)"
typology_005_following_280s,123,unclear,"claude-visual-review (demo clips, start/middle/end frames)"
typology_005_following_280s,124,parked,"claude-visual-review (demo clips, start/middle/end frames)"
typology_005_following_280s,170,parked,"claude-visual-review (demo clips, start/middle/end frames)"
