crop,clip,clip_time_s,labelled,predicted,correct
0,006b,458.0,off,off,True
1,006b,458.0,green,green,True
2,006b,458.0,off,off,True
3,006b,458.0,red,red,True
4,006b,458.0,green,green,True
5,006b,458.0,off,off,True
6,006b,458.0,red,red,True
7,006b,458.0,off,off,True
8,006b,458.0,off,off,True
9,006b,460.0,green,off,False
10,006b,460.0,green,green,True
11,006b,460.0,red,red,True
12,006b,460.0,off,yellow,False
13,006b,460.0,green,green,True
14,005,293.5,green,green,True
15,005,293.5,green,green,True
16,005,293.5,off,yellow,False
17,005,293.5,off,off,True
18,005,293.5,off,off,True
19,005,293.5,off,off,True
20,005,282.5,off,off,True
21,005,282.5,off,off,True
22,005,282.5,off,off,True
23,005,282.5,red,red,True
24,005,282.5,off,off,True
25,005,282.5,off,off,True
26,005,282.5,off,off,True
27,005,282.5,off,off,True
28,005,282.5,red,red,True
29,005,282.5,red,off,False
30,005,282.5,off,off,True
31,006p,713.5,off,off,True
32,006p,713.5,off,off,True
33,006p,713.5,red,red,True
34,006p,713.5,red,red,True
35,006p,713.5,off,off,True
36,006p,713.5,off,off,True
37,006p,725.0,off,off,True
38,006p,725.0,off,off,True
39,006p,725.0,off,off,True
40,006p,725.0,red,red,True
41,006p,725.0,off,off,True
42,006p,740.1,off,off,True
43,006p,740.1,off,off,True
