clip,kind,A,B,gap_s,e,dv,score,mean_iou,checked_by_eye,verdict
typology_006_bikelane_440s,duplicate box,2,29,0.0,,,,0.977,False,
typology_006_bikelane_440s,duplicate box,2,38,0.0,,,,0.972,False,
typology_006_bikelane_440s,duplicate box,2,50,0.0,,,,0.965,False,
typology_006_bikelane_440s,duplicate box,44,62,0.0,,,,0.965,False,
typology_006_bikelane_440s,duplicate box,64,70,0.0,,,,0.945,True,same vehicle
typology_006_bikelane_440s,duplicate box,76,78,0.0,,,,0.976,False,
typology_006_bikelane_440s,duplicate box,81,84,0.0,,,,0.968,False,
typology_006_bikelane_440s,duplicate box,91,99,0.0,,,,0.989,False,
typology_006_bikelane_440s,duplicate box,185,212,0.0,,,,0.976,False,
typology_006_bikelane_440s,duplicate box,185,233,0.0,,,,0.809,True,same vehicle
typology_006_bikelane_440s,duplicate box,200,311,0.0,,,,0.975,False,
typology_006_bikelane_440s,duplicate box,200,398,0.0,,,,0.98,False,
typology_006_bikelane_440s,duplicate box,200,410,0.0,,,,0.987,False,
typology_006_bikelane_440s,duplicate box,200,486,0.0,,,,0.97,False,
typology_006_bikelane_440s,duplicate box,200,510,0.0,,,,0.982,False,
typology_006_bikelane_440s,duplicate box,200,515,0.0,,,,0.977,False,
typology_006_bikelane_440s,duplicate box,482,495,0.0,,,,0.772,True,same vehicle
typology_006_bikelane_440s,duplicate box,507,533,0.0,,,,0.982,False,
typology_006_bikelane_440s,duplicate box,537,539,0.0,,,,0.991,False,
typology_006_bikelane_440s,duplicate box,609,635,0.0,,,,0.809,True,same vehicle
typology_006_bikelane_440s,duplicate box,674,746,0.0,,,,0.968,False,
typology_006_bikelane_440s,duplicate box,692,854,0.0,,,,0.989,False,
typology_006_bikelane_440s,duplicate box,692,871,0.0,,,,0.973,False,
typology_006_bikelane_440s,duplicate box,695,696,0.0,,,,0.726,True,same vehicle
typology_006_bikelane_440s,break,514,521,0.25,0.024,0.056,0.052,,True,same vehicle
typology_005_following_280s,duplicate box,1,3,0.0,,,,0.965,False,
typology_005_following_280s,duplicate box,1,5,0.0,,,,0.98,False,
typology_005_following_280s,duplicate box,1,8,0.0,,,,0.972,False,
typology_005_following_280s,duplicate box,1,9,0.0,,,,0.967,False,
typology_005_following_280s,duplicate box,1,10,0.0,,,,0.958,False,
typology_005_following_280s,duplicate box,1,12,0.0,,,,0.983,False,
typology_005_following_280s,duplicate box,1,33,0.0,,,,0.981,False,
typology_005_following_280s,duplicate box,1,60,0.0,,,,0.979,False,
typology_005_following_280s,duplicate box,1,85,0.0,,,,0.972,False,
typology_005_following_280s,duplicate box,16,69,0.0,,,,0.973,False,
typology_005_following_280s,duplicate box,115,144,0.0,,,,0.939,True,same vehicle
typology_005_following_280s,duplicate box,115,149,0.0,,,,0.978,False,
typology_005_following_280s,duplicate box,189,209,0.0,,,,0.947,False,
typology_005_following_280s,duplicate box,189,225,0.0,,,,0.871,True,same vehicle
typology_005_following_280s,break,42,50,0.75,0.038,0.069,0.072,,True,same vehicle
typology_006_parked_700s,duplicate box,27,33,0.0,,,,0.947,True,same vehicle
typology_006_parked_700s,duplicate box,68,151,0.0,,,,0.953,False,
typology_006_parked_700s,duplicate box,86,144,0.0,,,,0.977,False,
typology_006_parked_700s,duplicate box,92,117,0.0,,,,0.961,False,
typology_006_parked_700s,duplicate box,232,238,0.0,,,,0.919,True,same vehicle
typology_006_parked_700s,duplicate box,241,251,0.0,,,,0.964,False,
typology_006_parked_700s,duplicate box,241,295,0.0,,,,0.983,False,
typology_006_parked_700s,duplicate box,254,269,0.0,,,,0.967,False,
typology_006_parked_700s,duplicate box,254,332,0.0,,,,0.768,True,same vehicle
typology_006_parked_700s,duplicate box,306,343,0.0,,,,0.975,False,
typology_006_parked_700s,duplicate box,376,378,0.0,,,,0.977,False,
typology_006_parked_700s,duplicate box,405,424,0.0,,,,0.968,False,
typology_006_parked_700s,duplicate box,433,447,0.0,,,,0.911,True,same vehicle
typology_006_parked_700s,duplicate box,440,445,0.0,,,,0.975,False,
typology_006_parked_700s,duplicate box,440,451,0.0,,,,0.965,False,
typology_006_parked_700s,duplicate box,440,453,0.0,,,,0.955,False,
typology_006_parked_700s,duplicate box,457,465,0.0,,,,0.961,False,
typology_006_parked_700s,duplicate box,457,470,0.0,,,,0.973,False,
typology_006_parked_700s,duplicate box,495,496,0.0,,,,0.984,False,
typology_006_parked_700s,duplicate box,509,510,0.0,,,,0.943,True,same vehicle
typology_006_parked_700s,duplicate box,509,518,0.0,,,,0.97,False,
typology_006_parked_700s,break,428,447,1.25,0.204,0.288,0.348,,True,same vehicle
typology_006_parked_700s,break,519,526,0.42,0.025,0.042,0.045,,True,same vehicle
