,num_frames,num_objects,mota,motp,idf1,idp,idr,precision,recall,num_switches,num_fragmentations,mostly_tracked,mostly_lost,mean_matched_iou
botsort_tuned,300,4512,0.8098404255319149,0.060756006823162706,0.7246277205040091,0.7498814604077761,0.7010195035460993,0.9414414414414415,0.8800975177304965,70,47,56,13,0.9392439931768373
botsort,300,4512,0.8091755319148937,0.056333050695128485,0.723055619663051,0.7542128069330766,0.6943705673758865,0.9487241213288397,0.8734485815602837,77,67,56,10,0.9436669493048715
bytetrack,300,4512,0.7717198581560284,0.10874709521625035,0.6838999055712937,0.7315656565656565,0.6420656028368794,0.9492424242424242,0.8331117021276596,76,66,50,12,0.8912529047837496
fasttrack_tuned,300,4512,0.7433510638297872,0.11828115484586835,0.6817308778669077,0.6953215026503803,0.6686613475177305,0.8926019820235077,0.8583776595744681,53,76,48,19,0.8817188451541317
fasttrack,300,4512,0.75,0.11299201325220286,0.6700234978180597,0.6766101694915254,0.663563829787234,0.8906214689265537,0.8734485815602837,73,97,52,17,0.8870079867477971
tracktrack_tuned,300,4512,0.6320921985815603,0.07913058039478639,0.654637607704004,0.6032131515038296,0.7156471631205674,0.7730244722585466,0.9171099290780141,71,53,57,15,0.9208694196052136
deepocsort_tuned,300,4512,0.7688386524822695,0.11839222415871199,0.6320733616640573,0.6379232505643341,0.6263297872340425,0.9065462753950339,0.8900709219858156,133,67,59,12,0.881607775841288
ocsort,300,4512,0.6890514184397163,0.10350353678161477,0.6023517511695536,0.7012069473064468,0.5279255319148937,0.9732116573447159,0.7327127659574468,106,166,40,19,0.8964964632183853
deepocsort,300,4512,0.6507092198581561,0.09836359390435406,0.596128694742349,0.727185705169113,0.5050975177304965,0.9821314613911933,0.6821808510638298,86,181,32,20,0.9016364060956459
tracktrack,300,4512,0.2903368794326241,0.023688646363852272,0.43595890410958904,0.9585843373493976,0.282136524822695,0.9947289156626506,0.29277482269503546,4,23,7,71,0.9763113536361477
