model,video,n,accuracy,macro_f1
rules,VID_20260209_090112_00_001,76,0.3026315789473684,0.21694725028058365
rules,VID_20260209_183334_00_002,47,0.2127659574468085,0.14131677018633543
rules,VID_20260223_090217_00_003,60,0.36666666666666664,0.3681641305170717
rules,VID_20260223_183551_00_004,16,0.5,0.33212121212121215
rules,VID_20260224_091119_00_005,74,0.3783783783783784,0.2989441930618401
rules,VID_20260224_162848_00_006,105,0.47619047619047616,0.35686027953765054
decision_tree,VID_20260209_090112_00_001,76,0.47368421052631576,0.3871724685829842
decision_tree,VID_20260209_183334_00_002,47,0.5957446808510638,0.46465534465534464
decision_tree,VID_20260223_090217_00_003,60,0.4,0.36781954887218044
decision_tree,VID_20260223_183551_00_004,16,0.6875,0.5627705627705628
decision_tree,VID_20260224_091119_00_005,74,0.4594594594594595,0.3525022518465141
decision_tree,VID_20260224_162848_00_006,105,0.5047619047619047,0.34611320754716973
gradient_boosting,VID_20260209_090112_00_001,76,0.6710526315789473,0.3495238095238095
gradient_boosting,VID_20260209_183334_00_002,47,0.6382978723404256,0.3538461538461538
gradient_boosting,VID_20260223_090217_00_003,60,0.55,0.34129525752167267
gradient_boosting,VID_20260223_183551_00_004,16,0.6875,0.5703896103896103
gradient_boosting,VID_20260224_091119_00_005,74,0.581081081081081,0.4305555555555555
gradient_boosting,VID_20260224_162848_00_006,105,0.6666666666666666,0.45825678386653995
