model,video,n,accuracy,macro_f1
rules,VID_20260209_090112_00_001,56,0.3392857142857143,0.11176470588235295
rules,VID_20260209_183334_00_002,43,0.23255813953488372,0.1525315264445699
rules,VID_20260223_090217_00_003,38,0.3157894736842105,0.22323809523809524
rules,VID_20260223_183551_00_004,15,0.5333333333333333,0.3466666666666667
rules,VID_20260224_091119_00_005,59,0.3728813559322034,0.30150649350649356
rules,VID_20260224_162848_00_006,84,0.5357142857142857,0.3937567495795344
decision_tree,VID_20260209_090112_00_001,56,0.6607142857142857,0.3461240310077519
decision_tree,VID_20260209_183334_00_002,43,0.46511627906976744,0.354400871459695
decision_tree,VID_20260223_090217_00_003,38,0.39473684210526316,0.3220627325890484
decision_tree,VID_20260223_183551_00_004,15,0.8666666666666667,0.7380952380952381
decision_tree,VID_20260224_091119_00_005,59,0.4745762711864407,0.4167471819645733
decision_tree,VID_20260224_162848_00_006,84,0.6666666666666666,0.48359885889839804
gradient_boosting,VID_20260209_090112_00_001,56,0.7678571428571429,0.47692939244663385
gradient_boosting,VID_20260209_183334_00_002,43,0.6511627906976745,0.28881118881118883
gradient_boosting,VID_20260223_090217_00_003,38,0.6052631578947368,0.5526440879382056
gradient_boosting,VID_20260223_183551_00_004,15,0.7333333333333333,0.6471794871794871
gradient_boosting,VID_20260224_091119_00_005,59,0.576271186440678,0.45982142857142855
gradient_boosting,VID_20260224_162848_00_006,84,0.7380952380952381,0.5432520325203252
